Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"He told it me himself, and he hadn't a rogue on his back, as mother used to tell me he had when he wanted to make me believe something outrageous, for now he looked quite trustworthy.",evaluation,S,NEUTRAL
The first night after he came to the town had been signalized by the most terrible gale ever recorded in the newspapers- a gale such as none of the inhabitants had ever before experienced.,Contrast,S,NEUTRAL
"The air was dark with flying tiles; old wood-work crashed and fell; and a wheelbarrow ran up the streets all alone, only to get out of the way.",Contrast,S,NEUTRAL
"There was a groaning in the air, and a howling and a shrieking, and altogether it was a terrible storm.",evaluation,S,-
"The water in the canal rose over the banks, for it did not know where to run.",evaluation,S,-
"The storm swept over the town, carrying plenty of chimneys with it, and more than one proud weathercock on a church tower had to bow, and has never got over it from that time.",Contrast,S,-
"There was a kind of sentry-house, where dwelt the venerable old superintendent of the fire brigade, who always arrived with the last engine.",evaluation,S,NEUTRAL
"The storm would not leave this little sentry-house alone, but must needs tear it from its fastenings, and roll it down the street; and, wonderfully enough, it stopped opposite to the door of the dirty journeyman plasterer, who had saved three lives at the last fire, but the sentry-house thought nothing of that.",Contrast,S,NEUTRAL
"The barber's shield, the great brazen dish, was carried away, and hurled straight into the embrasure of the councillor of justice; and the whole neighborhood said this looked almost like malice, inasmuch as they, and nearly all the friends of the councillor's wife, used to call that lady the Razor for she was so sharp that she knew more about other people's business than they knew about it themselves.",Contrast,S,-
A shield with a dried salt fish painted on it flew exactly in front of the door of a house where dwelt a man who wrote a newspaper.,evaluation,N,NEUTRAL
"That was a very poor joke perpetrated by the gale, which seemed to have forgotten that a man who writes in a paper is not the kind of person to understand any liberty taken with him; for he is a king in his own newspaper, and likewise in his own opinion.",evaluation,S,NEUTRAL
"The weathercock flew to the opposite house, where he perched, looking the picture of malice- so the neighbors said.",evaluation,S,-
The cooper's tub stuck itself up under the head of ladies' costumes.,evaluation,S,-
"The eating-house keeper's bill of fare, which had hung at his door in a heavy frame, was posted by the storm over the entrance to the theatre, where nobody went.",Elaboration,S,-
"It was a ridiculous list- horse-radish, soup, and stuffed cabbage.",evaluation,S,NEUTRAL
And now people came in plenty.,Comparison,S,NEUTRAL
"The fox's skin, the honorable sign of the furrier, was found fastened to the bell-pull of a young man who always went to early lecture, and looked like a furled umbrella.",Elaboration,S,NEUTRAL
"He said he was striving after truth, and was considered by his aunt a model and an example.",Elaboration,S,NEUTRAL
"The inscription Institution for Superior Education was found near the billiard club, which place of resort was further adorned with the words, Children brought up by hand.",Elaboration,S,NEUTRAL
"Now, this was not at all witty; but, you see, the storm had done it, and no one has any control over that.",Contrast,S,NEUTRAL
"It was a terrible night, and in the morning- only think!- nearly all the shields had changed places.",evaluation,S,SADNESS
"In some places the inscriptions were so malicious, that grandfather would not speak of them at all; but I saw that he was chuckling secretly, and there may have been some inaccuracy in his description, after all.",Contrast,S,-
"The poor people in the town, and still more the strangers, were continually making mistakes in the people they wanted to see; nor was this to be avoided, when they went according to the shields that were hung up.",Elaboration,N,NEUTRAL
"Thus, for instance, some who wanted to go to a very grave assembly of elderly men, where important affairs were to be discussed, found themselves in a noisy boys' school, where all the company were leaping over the chairs and tables.",Contrast,S,-
"There were also people who made a mistake between the church and the theatre, and that was terrible indeed!",Elaboration,S,-
"Such a storm we have never witnessed in our day; for that only happened in grandpapa's time, when he was quite a little boy.",evaluation,S,NEUTRAL
"Perhaps we shall never experience a storm of the kind, but our grandchildren may; and we can only hope and pray that all may stay at home while the storm is moving the shields.",evaluation,S,NEUTRAL
Sentences of the_adventures_of_chanticleer_and_partlet,RST Relation the_adventures_of_chanticleer_and_partlet,Nuclearity,One Label
1,evaluation,S,NEUTRAL
HOW THEY WENT TO THE MOUNTAINS TO EAT NUTS,Attribution,N,NEUTRAL
"The nuts are quite ripe now, said Chanticleer to his wife Partlet, suppose we go together to the mountains, and eat as many as we can, before the squirrel takes them all away.",Contrast,S,NEUTRAL
"With all my heart, said Partlet, let us go and make a holiday of it together.",Condition,S,JOY
"So they went to the mountains; and as it was a lovely day, they stayed there till the evening.",Contrast,N,-
"Now, whether it was that they had eaten so many nuts that they could not walk, or whether they were lazy and would not, I do not know: however, they took it into their heads that it did not become them to go home on foot.",Contrast,S,NEUTRAL
"So Chanticleer began to build a little carriage of nutshells: and when it was finished, Partlet jumped into it and sat down, and bid Chanticleer harness himself to it and draw her home.",Contrast,N,NEUTRAL
"Thats a good joke! said Chanticleer; no, that will never do; I had rather by half walk home; Ill sit on the box and be coachman, if you like, but Ill not draw.",Contrast,S,-
"While this was passing, a duck came quacking up and cried out, You thieving vagabonds, what business have you in my grounds?",Contrast,S,ANGER
Ill give it you well for your insolence! and upon that she fell upon Chanticleer most lustily.,Contrast,S,ANGER
"But Chanticleer was no coward, and returned the ducks blows with his sharp spurs so fiercely that she soon began to cry out for mercy; which was only granted her upon condition that she would draw the carriage home for them.",Contrast,S,-
"This she agreed to do; and Chanticleer got upon the box, and drove, crying, Now, duck, get on as fast as you can.",Contrast,S,NEUTRAL
And away they went at a pretty good pace.,Contrast,S,NEUTRAL
"After they had travelled along a little way, they met a needle and a pin walking together along the road: and the needle cried out, Stop, stop! and said it was so dark that they could hardly find their way, and such dirty walking they could not get on at all: he told them that he and his friend, the pin, had been at a public-house a few miles off, and had sat drinking till they had forgotten how late it was; he begged therefore that the travellers would be so kind as to give them a lift in their carriage.",Contrast,S,-
"Chanticleer observing that they were but thin fellows, and not likely to take up much room, told them they might ride, but made them promise not to dirty the wheels of the carriage in getting in, nor to tread on Partlets toes.",Contrast,S,NEUTRAL
"Late at night they arrived at an inn; and as it was bad travelling in the dark, and the duck seemed much tired, and waddled about a good deal from one side to the other, they made up their minds to fix their quarters there: but the landlord at first was unwilling, and said his house was full, thinking they might not be very respectable company: however, they spoke civilly to him, and gave him the egg which Partlet had laid by the way, and said they would give him the duck, who was in the habit of laying one every day: so at last he let them come in, and they bespoke a handsome supper, and spent the evening very jollily.",Contrast,S,-
